=================AST Tree=============================
Lexeme: _sumN, LineNo: 4, TokenName: _sumN, ValueOfNumber: ----, parentNodeSymbol: function, isLeafNode: YES, NodeSymbol: TK_FUNID
Lexeme: ----, LineNo: ----, TokenName: declarations, ValueOfNumber: ----, parentNodeSymbol: stmts, isLeafNode: NO, NodeSymbol: declarations
Lexeme: b5b567, LineNo: 7, TokenName: b5b567, ValueOfNumber: ----, parentNodeSymbol: singleOrRecId, isLeafNode: YES, NodeSymbol: TK_ID
Lexeme: ----, LineNo: ----, TokenName: singleOrRecId, ValueOfNumber: ----, parentNodeSymbol: otherStmts, isLeafNode: NO, NodeSymbol: singleOrRecId
Lexeme: ----, LineNo: ----, TokenName: otherStmts, ValueOfNumber: ----, parentNodeSymbol: stmts, isLeafNode: NO, NodeSymbol: otherStmts
Lexeme: d3, LineNo: 8, TokenName: d3, ValueOfNumber: ----, parentNodeSymbol: singleOrRecId, isLeafNode: YES, NodeSymbol: TK_ID
Lexeme: ----, LineNo: ----, TokenName: singleOrRecId, ValueOfNumber: ----, parentNodeSymbol: otherStmts, isLeafNode: NO, NodeSymbol: singleOrRecId
Lexeme: ----, LineNo: ----, TokenName: otherStmts, ValueOfNumber: ----, parentNodeSymbol: otherStmts, isLeafNode: NO, NodeSymbol: otherStmts
Lexeme: while, LineNo: 9, TokenName: while, ValueOfNumber: ----, parentNodeSymbol: otherStmts, isLeafNode: YES, NodeSymbol: TK_WHILE
Lexeme: ----, LineNo: ----, TokenName: otherStmts, ValueOfNumber: ----, parentNodeSymbol: otherStmts, isLeafNode: NO, NodeSymbol: otherStmts
Lexeme: return, LineNo: 14, TokenName: return, ValueOfNumber: ----, parentNodeSymbol: returnStmt, isLeafNode: YES, NodeSymbol: TK_RETURN
Lexeme: ----, LineNo: ----, TokenName: returnStmt, ValueOfNumber: ----, parentNodeSymbol: stmts, isLeafNode: NO, NodeSymbol: returnStmt
Lexeme: [, LineNo: 14, TokenName: [, ValueOfNumber: ----, parentNodeSymbol: optionalReturn, isLeafNode: YES, NodeSymbol: TK_SQL
Lexeme: ----, LineNo: ----, TokenName: optionalReturn, ValueOfNumber: ----, parentNodeSymbol: returnStmt, isLeafNode: NO, NodeSymbol: optionalReturn
Lexeme: d3, LineNo: 14, TokenName: d3, ValueOfNumber: ----, parentNodeSymbol: idList, isLeafNode: YES, NodeSymbol: TK_ID
Lexeme: ----, LineNo: ----, TokenName: idList, ValueOfNumber: ----, parentNodeSymbol: optionalReturn, isLeafNode: NO, NodeSymbol: idList
Lexeme: ], LineNo: 14, TokenName: ], ValueOfNumber: ----, parentNodeSymbol: optionalReturn, isLeafNode: YES, NodeSymbol: TK_SQR
Lexeme: ;, LineNo: 14, TokenName: ;, ValueOfNumber: ----, parentNodeSymbol: returnStmt, isLeafNode: YES, NodeSymbol: TK_SEM
Lexeme: end, LineNo: 15, TokenName: end, ValueOfNumber: ----, parentNodeSymbol: function, isLeafNode: YES, NodeSymbol: TK_END
Lexeme: ----, LineNo: ----, TokenName: otherFunctions, ValueOfNumber: ----, parentNodeSymbol: ROOT, isLeafNode: NO, NodeSymbol: otherFunctions
Lexeme: ----, LineNo: ----, TokenName: program, ValueOfNumber: ----, parentNodeSymbol: ROOT, isLeafNode: NO, NodeSymbol: program
Lexeme: _main, LineNo: 17, TokenName: _main, ValueOfNumber: ----, parentNodeSymbol: mainFunction, isLeafNode: YES, NodeSymbol: TK_MAIN
Lexeme: ----, LineNo: ----, TokenName: mainFunction, ValueOfNumber: ----, parentNodeSymbol: ROOT, isLeafNode: NO, NodeSymbol: mainFunction
Lexeme: ----, LineNo: ----, TokenName: stmts, ValueOfNumber: ----, parentNodeSymbol: mainFunction, isLeafNode: NO, NodeSymbol: stmts
Lexeme: type, LineNo: 18, TokenName: type, ValueOfNumber: ----, parentNodeSymbol: declaration, isLeafNode: YES, NodeSymbol: TK_TYPE
Lexeme: ----, LineNo: ----, TokenName: declaration, ValueOfNumber: ----, parentNodeSymbol: declarations, isLeafNode: NO, NodeSymbol: declaration
Lexeme: int, LineNo: 18, TokenName: int, ValueOfNumber: int, parentNodeSymbol: declaration, isLeafNode: YES, NodeSymbol: TK_INT
Lexeme: :, LineNo: 18, TokenName: :, ValueOfNumber: ----, parentNodeSymbol: declaration, isLeafNode: YES, NodeSymbol: TK_COLON
Lexeme: b3, LineNo: 18, TokenName: b3, ValueOfNumber: ----, parentNodeSymbol: declaration, isLeafNode: YES, NodeSymbol: TK_ID
Lexeme: ;, LineNo: 18, TokenName: ;, ValueOfNumber: ----, parentNodeSymbol: declaration, isLeafNode: YES, NodeSymbol: TK_SEM
Lexeme: ----, LineNo: ----, TokenName: declarations, ValueOfNumber: ----, parentNodeSymbol: stmts, isLeafNode: NO, NodeSymbol: declarations
Lexeme: type, LineNo: 19, TokenName: type, ValueOfNumber: ----, parentNodeSymbol: declaration, isLeafNode: YES, NodeSymbol: TK_TYPE
Lexeme: ----, LineNo: ----, TokenName: declaration, ValueOfNumber: ----, parentNodeSymbol: declarations, isLeafNode: NO, NodeSymbol: declaration
Lexeme: real, LineNo: 19, TokenName: real, ValueOfNumber: real, parentNodeSymbol: declaration, isLeafNode: YES, NodeSymbol: TK_REAL
Lexeme: :, LineNo: 19, TokenName: :, ValueOfNumber: ----, parentNodeSymbol: declaration, isLeafNode: YES, NodeSymbol: TK_COLON
Lexeme: c4bd56, LineNo: 19, TokenName: c4bd56, ValueOfNumber: ----, parentNodeSymbol: declaration, isLeafNode: YES, NodeSymbol: TK_ID
Lexeme: ;, LineNo: 19, TokenName: ;, ValueOfNumber: ----, parentNodeSymbol: declaration, isLeafNode: YES, NodeSymbol: TK_SEM
Lexeme: ----, LineNo: ----, TokenName: declarations, ValueOfNumber: ----, parentNodeSymbol: declarations, isLeafNode: NO, NodeSymbol: declarations
Lexeme: _main, LineNo: 0, TokenName: _main, ValueOfNumber: ----, parentNodeSymbol: mainFunction, isLeafNode: YES, NodeSymbol: TK_END

======================================================
